economy,time,SH.UHC.NOP1.CG,SH.UHC.NOP2.TO,SH.UHC.OOPC.25.ZS
BHS,YR2000,,,
BHS,YR2004,,,
BHS,YR2008,,,
BHS,YR2012,,,
BIH,YR1992,,,
BIH,YR1996,,,
BIH,YR2000,,,
BIH,YR2004,0.0003356,6000.0,0.3999738
BIH,YR2008,,,
BIH,YR2012,,,
BLR,YR1992,,,
BLR,YR1996,,,
BLR,YR2000,0.0005658,51000.0,0.3005007
BLR,YR2004,5.22e-05,45000.0,0.1318705
BLR,YR2008,0.0,3000.0,0.1002806
BLR,YR2012,0.0,0.0,0.1502668
BLZ,YR1992,,,
BLZ,YR1996,,,
BLZ,YR2000,,,
BLZ,YR2004,,,
BLZ,YR2008,,,
BLZ,YR2012,,,
BMU,YR1992,,,
BMU,YR1996,,,
BMU,YR2000,,,
BMU,YR2004,,,
BMU,YR2008,,,
BMU,YR2012,,,
BOL,YR1992,,,
BOL,YR1996,,,
BOL,YR2000,,,3.550981
BOL,YR2004,,,
BOL,YR2008,,,
BOL,YR2012,,,
BRA,YR1992,,,
BRA,YR1996,,,
BRA,YR2000,,,
BRA,YR2004,,,
BRA,YR2008,0.0073587,3874000.0,3.46446
BRA,YR2012,,,
BRB,YR1992,,,
BRB,YR1996,,,
BRB,YR2000,,,
BRB,YR2004,,,
BRB,YR2008,,,
BRB,YR2012,,,
BRN,YR1992,,,
BRN,YR1996,,,
BRN,YR2000,,,
BRN,YR2004,,,
BRN,YR2008,,,
BRN,YR2012,,,
BTN,YR1992,,,
BTN,YR1996,,,
BTN,YR2000,,,
BTN,YR2004,,,
BTN,YR2008,,,
BTN,YR2012,,,
BWA,YR1992,,,
BWA,YR1996,,,
BWA,YR2000,,,
BWA,YR2004,,,
BWA,YR2008,,,
BWA,YR2012,,,
CAF,YR1992,,,
CAF,YR1996,,,
CAF,YR2000,,,
CAF,YR2004,,,
CAF,YR2008,,,
CAF,YR2012,,,
CAN,YR1992,,,
CAN,YR1996,,,
CAN,YR2000,0.0025105,10000.0,0.3394
CAN,YR2004,0.0018177,15000.0,0.34434
CAN,YR2008,,,
CAN,YR2012,,,
CHE,YR1992,,,
CHE,YR1996,,,
CHE,YR2000,0.0,0.0,5.34443
CHE,YR2004,0.0,0.0,6.68024
CHE,YR2008,,,
CHE,YR2012,,,
CHI,YR1992,,,
CHI,YR1996,,,
CHI,YR2000,,,
CHI,YR2004,,,
CHI,YR2008,,,
CHI,YR2012,,,
CHL,YR1992,,,
CHL,YR1996,,,
CHL,YR2000,,,
CHL,YR2004,,,
CHL,YR2008,,,
CHL,YR2012,,,
CHN,YR1992,,,
CHN,YR1996,,,
CHN,YR2000,0.0291043,27500000.0,2.747623
CHN,YR2004,,,
CHN,YR2008,,,
CHN,YR2012,,,
CIV,YR1992,,,
CIV,YR1996,,,
CIV,YR2000,,,
CIV,YR2004,,,
CIV,YR2008,0.022208,652000.0,3.568406
CIV,YR2012,,,
CMR,YR1992,,,
CMR,YR1996,0.0441891,323000.0,2.055755
CMR,YR2000,,,
CMR,YR2004,,,
CMR,YR2008,,,
CMR,YR2012,,,
COD,YR1992,,,
COD,YR1996,,,
COD,YR2000,,,
COD,YR2004,0.0142014,64000.0,0.8374928
COD,YR2008,,,
COD,YR2012,,,
COG,YR1992,,,
COG,YR1996,,,
COG,YR2000,,,
COG,YR2004,,,
COG,YR2008,,,
COG,YR2012,,,
COL,YR1992,,,
COL,YR1996,,,
COL,YR2000,,,
COL,YR2004,,,
COL,YR2008,0.0026818,474000.0,3.109187
COL,YR2012,,,
COM,YR1992,,,
COM,YR1996,,,
COM,YR2000,,,
COM,YR2004,,,
COM,YR2008,,,
COM,YR2012,,,
CPV,YR1992,,,
CPV,YR1996,,,
CPV,YR2000,,,
CPV,YR2004,,,
CPV,YR2008,,,
CPV,YR2012,,,
CRI,YR1992,0.000505,14000.0,0.0959782
CRI,YR1996,,,
CRI,YR2000,,,
CRI,YR2004,0.0004965,9000.0,0.4746994
CRI,YR2008,,,
CRI,YR2012,0.0009081,20000.0,1.813476
CUB,YR1992,,,
CUB,YR1996,,,
CUB,YR2000,,,
CUB,YR2004,,,
CUB,YR2008,,,
CUB,YR2012,,,
CUW,YR1992,,,
CUW,YR1996,,,
CUW,YR2000,,,
CUW,YR2004,,,
CUW,YR2008,,,
CUW,YR2012,,,
CYM,YR1992,,,
CYM,YR1996,,,
CYM,YR2000,,,
CYM,YR2004,,,
CYM,YR2008,,,
CYM,YR2012,,,
CYP,YR1992,,,
CYP,YR1996,,,
CYP,YR2000,,,
CYP,YR2004,,,
CYP,YR2008,,,
CYP,YR2012,,,
CZE,YR1992,,,
CZE,YR1996,,,
CZE,YR2000,,,
CZE,YR2004,,,
CZE,YR2008,,,
CZE,YR2012,,,
DEU,YR1992,,,
DEU,YR1996,,,
DEU,YR2000,,,
DEU,YR2004,,,
DEU,YR2008,,,
DEU,YR2012,,,
DJI,YR1992,,,
DJI,YR1996,0.0008052,0.0,0.0379364
DJI,YR2000,,,
DJI,YR2004,,,
DJI,YR2008,,,
DJI,YR2012,,,
DMA,YR1992,,,
DMA,YR1996,,,
DMA,YR2000,,,
DMA,YR2004,,,
DMA,YR2008,,,
DMA,YR2012,,,
DNK,YR1992,,,
DNK,YR1996,,,
DNK,YR2000,,,
DNK,YR2004,,,
DNK,YR2008,,,
DNK,YR2012,,,
DOM,YR1992,,,
DOM,YR1996,,,
DOM,YR2000,,,
DOM,YR2004,,,
DOM,YR2008,,,
DOM,YR2012,,,
DZA,YR1992,,,
DZA,YR1996,,,
DZA,YR2000,,,
DZA,YR2004,,,
DZA,YR2008,,,
DZA,YR2012,,,
EAS,YR1992,,,
EAS,YR1996,,,
EAS,YR2000,,38682000.0,2.1567726613288
EAS,YR2004,,,
EAS,YR2008,,,
EAS,YR2012,,,
ECS,YR1992,,,
ECS,YR1996,,,
ECS,YR2000,,5010000.0,0.980093566211278
ECS,YR2004,,,
ECS,YR2008,,,
ECS,YR2012,,,
ECU,YR1992,,,
ECU,YR1996,,,
ECU,YR2000,,,
ECU,YR2004,,,
ECU,YR2008,,,
ECU,YR2012,,,
EGY,YR1992,,,
EGY,YR1996,,,
EGY,YR2000,,,
EGY,YR2004,,,
EGY,YR2008,0.0001841,559000.0,0.8858571
EGY,YR2012,0.0004383,936000.0,3.896442
ERI,YR1992,,,
ERI,YR1996,,,
ERI,YR2000,,,
ERI,YR2004,,,
ERI,YR2008,,,
ERI,YR2012,,,
ESP,YR1992,,,
ESP,YR1996,,,0.5433341
ESP,YR2000,,,
ESP,YR2004,,,
ESP,YR2008,,,
ESP,YR2012,,,
EST,YR1992,,,
EST,YR1996,,,
EST,YR2000,6.43e-05,4000.0,1.02089
EST,YR2004,0.0001451,9000.0,1.932875
EST,YR2008,,,
EST,YR2012,,,
ETH,YR1992,,,
ETH,YR1996,,,
ETH,YR2000,,,
ETH,YR2004,0.0041634,258000.0,0.176331
ETH,YR2008,,,
ETH,YR2012,,,
FIN,YR1992,,,
FIN,YR1996,,,
FIN,YR2000,,,
FIN,YR2004,,,
FIN,YR2008,,,
FIN,YR2012,,,
FJI,YR1992,,,
FJI,YR1996,,,
FJI,YR2000,,,
FJI,YR2004,,,
FJI,YR2008,,,
FJI,YR2012,,,
FRA,YR1992,,,
FRA,YR1996,,,
FRA,YR2000,,,
FRA,YR2004,,,
FRA,YR2008,,,
FRA,YR2012,,,
FRO,YR1992,,,
FRO,YR1996,,,
FRO,YR2000,,,
FRO,YR2004,,,
FRO,YR2008,,,
FRO,YR2012,,,
FSM,YR1992,,,
FSM,YR1996,,,
FSM,YR2000,,,
FSM,YR2004,,,
FSM,YR2008,,,
FSM,YR2012,,,
GAB,YR1992,,,
GAB,YR1996,,,
GAB,YR2000,,,
GAB,YR2004,,,
GAB,YR2008,,,
GAB,YR2012,,,
GBR,YR1992,,,
GBR,YR1996,,,
GBR,YR2000,0.0,0.0,0.2603419
GBR,YR2004,,,
GBR,YR2008,,,
GBR,YR2012,,,
GEO,YR1992,,,
GEO,YR1996,,,
GEO,YR2000,0.0190606,126000.0,4.733633
GEO,YR2004,0.0146467,128000.0,4.853621
GEO,YR2008,0.0238696,192000.0,8.293553
GEO,YR2012,0.0278214,192000.0,9.187076
GHA,YR1992,,,
GHA,YR1996,,,
GHA,YR2000,,,
GHA,YR2004,,,
GHA,YR2008,,,
GHA,YR2012,,,
GIB,YR1992,,,
GIB,YR1996,,,
GIB,YR2000,,,
GIB,YR2004,,,
GIB,YR2008,,,
GIB,YR2012,,,
GIN,YR1992,,,
GIN,YR1996,,,
GIN,YR2000,,,
GIN,YR2004,,,
GIN,YR2008,,,
GIN,YR2012,0.0906945,164000.0,1.252341
GMB,YR1992,,,
GMB,YR1996,,,
GMB,YR2000,,,
GMB,YR2004,,,
GMB,YR2008,,,
GMB,YR2012,,,
GNB,YR1992,,,
GNB,YR1996,,,
GNB,YR2000,,,
GNB,YR2004,,,
GNB,YR2008,,,
GNB,YR2012,,,
GNQ,YR1992,,,
GNQ,YR1996,,,
GNQ,YR2000,,,
GNQ,YR2004,,,
GNQ,YR2008,,,
GNQ,YR2012,,,
GRC,YR1992,,,
GRC,YR1996,,,
GRC,YR2000,,,
GRC,YR2004,,,
GRC,YR2008,,,
GRC,YR2012,,,
