economy,time,SH.UHC.NOP1.CG,SH.UHC.NOP2.TO,SH.UHC.OOPC.25.ZS
NOR,YR2008,,,
NOR,YR2012,,,
NPL,YR1992,,,
NPL,YR1996,,,
NPL,YR2000,,,
NPL,YR2004,,,
NPL,YR2008,,,
NPL,YR2012,,,
NRU,YR1992,,,
NRU,YR1996,,,
NRU,YR2000,,,
NRU,YR2004,,,
NRU,YR2008,,,
NRU,YR2012,,,
NZL,YR1992,,,
NZL,YR1996,,,
NZL,YR2000,,,
NZL,YR2004,,,
NZL,YR2008,,,
NZL,YR2012,,,
OMN,YR1992,,,
OMN,YR1996,,,
OMN,YR2000,,,
OMN,YR2004,,,
OMN,YR2008,,,
OMN,YR2012,,,
PAK,YR1992,,,
PAK,YR1996,,,
PAK,YR2000,,,
PAK,YR2004,0.0088195,4813000.0,0.0661541
PAK,YR2008,,,
PAK,YR2012,,,
PAN,YR1992,,,
PAN,YR1996,,,
PAN,YR2000,,,
PAN,YR2004,,,
PAN,YR2008,0.0001553,1000.0,0.2227078
PAN,YR2012,,,
PER,YR1992,,,
PER,YR1996,,,
PER,YR2000,0.00982,590000.0,2.891316
PER,YR2004,,,
PER,YR2008,0.0020098,265000.0,1.563558
PER,YR2012,0.0008157,216000.0,1.475166
PHL,YR1992,,,
PHL,YR1996,,,
PHL,YR2000,0.0025977,528000.0,0.6134781
PHL,YR2004,,,
PHL,YR2008,,,
PHL,YR2012,0.0029783,1162000.0,1.29369
PLW,YR1992,,,
PLW,YR1996,,,
PLW,YR2000,,,
PLW,YR2004,,,
PLW,YR2008,,,
PLW,YR2012,,,
PNG,YR1992,,,
PNG,YR1996,,,
PNG,YR2000,,,
PNG,YR2004,,,
PNG,YR2008,,,
PNG,YR2012,,,
POL,YR1992,,,
POL,YR1996,,,
POL,YR2000,3.63e-05,77000.0,1.461299
POL,YR2004,2.42e-05,53000.0,1.514332
POL,YR2008,1.34e-06,10000.0,1.626764
POL,YR2012,1.33e-05,33000.0,1.610577
PRI,YR1992,,,
PRI,YR1996,,,
PRI,YR2000,,,
PRI,YR2004,,,
PRI,YR2008,,,
PRI,YR2012,,,
PRK,YR1992,,,
PRK,YR1996,,,
PRK,YR2000,,,
PRK,YR2004,,,
PRK,YR2008,,,
PRK,YR2012,,,
PRT,YR1992,,,
PRT,YR1996,,,
PRT,YR2000,,,
PRT,YR2004,,,
PRT,YR2008,,,
PRT,YR2012,,,
PRY,YR1992,,,
PRY,YR1996,,,2.280238
PRY,YR2000,0.0006059,29000.0,2.043809
PRY,YR2004,,,
PRY,YR2008,,,
PRY,YR2012,,,
PSE,YR1992,,,
PSE,YR1996,,,
PSE,YR2000,,,
PSE,YR2004,,,
PSE,YR2008,,,
PSE,YR2012,,,
PYF,YR1992,,,
PYF,YR1996,,,
PYF,YR2000,,,
PYF,YR2004,,,
PYF,YR2008,,,
PYF,YR2012,,,
QAT,YR1992,,,
QAT,YR1996,,,
QAT,YR2000,,,
QAT,YR2004,,,
QAT,YR2008,,,
QAT,YR2012,,,
ROU,YR1992,,,
ROU,YR1996,,,
ROU,YR2000,0.0016597,284000.0,1.199346
ROU,YR2004,0.0004655,203000.0,2.070901
ROU,YR2008,0.0,56000.0,2.360894
ROU,YR2012,0.0,60000.0,2.293111
RUS,YR1992,,,
RUS,YR1996,,,
RUS,YR2000,0.0001984,393000.0,0.2896683
RUS,YR2004,4.99e-05,144000.0,0.1778065
RUS,YR2008,,,
RUS,YR2012,0.0002394,7000.0,0.1698528
RWA,YR1992,,,
RWA,YR1996,,,
RWA,YR2000,0.0194678,55000.0,1.335144
RWA,YR2004,,,
RWA,YR2008,,,
RWA,YR2012,,,
SAS,YR1992,,,
SAS,YR1996,,,
SAS,YR2000,,37208000.0,2.07940270104237
SAS,YR2004,,,
SAS,YR2008,,,
SAS,YR2012,,,
SAU,YR1992,,,
SAU,YR1996,,,
SAU,YR2000,,,
SAU,YR2004,,,
SAU,YR2008,,,
SAU,YR2012,,,
SDN,YR1992,,,
SDN,YR1996,,,
SDN,YR2000,,,
SDN,YR2004,,,
SDN,YR2008,,,
SDN,YR2012,,,
SEN,YR1992,,,
SEN,YR1996,,,
SEN,YR2000,,,
SEN,YR2004,,,
SEN,YR2008,,,
SEN,YR2012,,,
SGP,YR1992,,,
SGP,YR1996,,,
SGP,YR2000,,,
SGP,YR2004,,,
SGP,YR2008,,,
SGP,YR2012,,,
SLB,YR1992,,,
SLB,YR1996,,,
SLB,YR2000,,,
SLB,YR2004,,,
SLB,YR2008,,,
SLB,YR2012,,,
SLE,YR1992,,,
SLE,YR1996,,,
SLE,YR2000,,,
SLE,YR2004,,,
SLE,YR2008,,,
SLE,YR2012,,,
SLV,YR1992,,,
SLV,YR1996,,,
SLV,YR2000,,,
SLV,YR2004,,,
SLV,YR2008,,,
SLV,YR2012,,,
SMR,YR1992,,,
SMR,YR1996,,,
SMR,YR2000,,,
SMR,YR2004,,,
SMR,YR2008,,,
SMR,YR2012,,,
SOM,YR1992,,,
SOM,YR1996,,,
SOM,YR2000,,,
SOM,YR2004,,,
SOM,YR2008,,,
SOM,YR2012,,,
SRB,YR1992,,,
SRB,YR1996,,,
SRB,YR2000,,,
SRB,YR2004,0.00013,40000.0,1.745352
SRB,YR2008,0.0002538,14000.0,1.468078
SRB,YR2012,,,
SSD,YR1992,,,
SSD,YR1996,,,
SSD,YR2000,,,
SSD,YR2004,,,
SSD,YR2008,,,
SSD,YR2012,,,
SSF,YR1992,,,
SSF,YR1996,,,
SSF,YR2000,,13970000.0,1.62739263203559
SSF,YR2004,,,
SSF,YR2008,,,
SSF,YR2012,,,
STP,YR1992,,,
STP,YR1996,,,
STP,YR2000,,,0.9594984
STP,YR2004,,,
STP,YR2008,,,
STP,YR2012,,,
SUR,YR1992,,,
SUR,YR1996,,,
SUR,YR2000,,,
SUR,YR2004,,,
SUR,YR2008,,,
SUR,YR2012,,,
SVK,YR1992,,,
SVK,YR1996,,,
SVK,YR2000,,,
SVK,YR2004,4.9e-05,0.0,0.4299837
SVK,YR2008,0.0,3000.0,0.5431298
SVK,YR2012,,,
SVN,YR1992,,,
SVN,YR1996,,,
SVN,YR2000,,,
SVN,YR2004,,,
SVN,YR2008,,,
SVN,YR2012,0.0,0.0,0.25976
SWE,YR1992,,,
SWE,YR1996,0.0,0.0,0.6941245
SWE,YR2000,,,
SWE,YR2004,,,
SWE,YR2008,,,
SWE,YR2012,,,
SWZ,YR1992,,,
SWZ,YR1996,,,
SWZ,YR2000,,,
SWZ,YR2004,,,
SWZ,YR2008,,,
SWZ,YR2012,,,
SXM,YR1992,,,
SXM,YR1996,,,
SXM,YR2000,,,
SXM,YR2004,,,
SXM,YR2008,,,
SXM,YR2012,,,
SYC,YR1992,,,
SYC,YR1996,,,
SYC,YR2000,,,
SYC,YR2004,,,
SYC,YR2008,,,
SYC,YR2012,,,
SYR,YR1992,,,
SYR,YR1996,,,
SYR,YR2000,,,
SYR,YR2004,,,
SYR,YR2008,,,
SYR,YR2012,,,
TCA,YR1992,,,
TCA,YR1996,,,
TCA,YR2000,,,
TCA,YR2004,,,
TCA,YR2008,,,
TCA,YR2012,,,
TCD,YR1992,,,
TCD,YR1996,,,
TCD,YR2000,,,
TCD,YR2004,,,
TCD,YR2008,,,
TCD,YR2012,,,
TGO,YR1992,,,
TGO,YR1996,,,
TGO,YR2000,,,
TGO,YR2004,,,
TGO,YR2008,,,
TGO,YR2012,,,
THA,YR1992,,,
THA,YR1996,0.0009179,798000.0,2.036451
THA,YR2000,,,
THA,YR2004,,,
THA,YR2008,,,
THA,YR2012,,,
TJK,YR1992,,,
TJK,YR1996,,,
TJK,YR2000,,,
TJK,YR2004,,,
TJK,YR2008,,,
TJK,YR2012,,,
TKM,YR1992,,,
TKM,YR1996,,,
TKM,YR2000,,,
TKM,YR2004,,,
TKM,YR2008,,,
TKM,YR2012,,,
TLS,YR1992,,,
TLS,YR1996,,,
TLS,YR2000,,,
TLS,YR2004,,,
TLS,YR2008,,,
TLS,YR2012,,,
TON,YR1992,,,
TON,YR1996,,,
TON,YR2000,,,
TON,YR2004,,,
TON,YR2008,,,
TON,YR2012,,,
TTO,YR1992,,,
TTO,YR1996,,,
TTO,YR2000,,,
TTO,YR2004,,,
TTO,YR2008,,,
TTO,YR2012,,,
TUN,YR1992,,,
TUN,YR1996,,,
TUN,YR2000,,,
TUN,YR2004,,,
TUN,YR2008,,,
TUN,YR2012,,,
TUR,YR1992,,,
TUR,YR1996,,,
TUR,YR2000,,,
TUR,YR2004,0.000486,335000.0,1.038334
TUR,YR2008,9.05e-05,215000.0,0.6803637
TUR,YR2012,2.37e-05,149000.0,0.3199194
TUV,YR1992,,,
TUV,YR1996,,,
TUV,YR2000,,,
TUV,YR2004,,,
TUV,YR2008,,,
TUV,YR2012,,,
TZA,YR1992,,,
TZA,YR1996,,,
TZA,YR2000,,,
TZA,YR2004,,,
TZA,YR2008,,,2.04624
TZA,YR2012,0.0226358,915000.0,2.480539
UGA,YR1992,,,
UGA,YR1996,0.0394496,317000.0,2.440659
UGA,YR2000,,,
UGA,YR2004,,,
UGA,YR2008,,,
UGA,YR2012,,,
UKR,YR1992,,,
UKR,YR1996,,,
UKR,YR2000,,,
UKR,YR2004,0.0003493,342000.0,1.258825
UKR,YR2008,0.0,47000.0,0.7350021
UKR,YR2012,0.0,5000.0,1.039416
URY,YR1992,,,
URY,YR1996,,,
URY,YR2000,,,
URY,YR2004,,,
URY,YR2008,,,
URY,YR2012,,,
USA,YR1992,,,
USA,YR1996,0.0002175,138000.0,1.00145
USA,YR2000,1.61e-05,0.0,1.077598
USA,YR2004,0.0,5000.0,0.8926959
USA,YR2008,1.06e-05,0.0,0.7237928
USA,YR2012,0.0016197,8000.0,0.8564664
UZB,YR1992,,,
UZB,YR1996,,,
UZB,YR2000,,,
UZB,YR2004,,,
UZB,YR2008,,,
UZB,YR2012,,,
VCT,YR1992,,,
VCT,YR1996,,,
VCT,YR2000,,,
VCT,YR2004,,,
VCT,YR2008,,,
VCT,YR2012,,,
VEN,YR1992,,,
VEN,YR1996,,,
VEN,YR2000,,,
VEN,YR2004,,,
VEN,YR2008,,,
VEN,YR2012,,,
VGB,YR1992,,,
VGB,YR1996,,,
VGB,YR2000,,,
VGB,YR2004,,,
VGB,YR2008,,,
VGB,YR2012,,,
VIR,YR1992,,,
VIR,YR1996,,,
VIR,YR2000,,,
VIR,YR2004,,,
VIR,YR2008,,,
VIR,YR2012,,,
VNM,YR1992,0.057124,1499000.0,3.758705
VNM,YR1996,,,
VNM,YR2000,,,
VNM,YR2004,0.0211518,3132000.0,4.051009
VNM,YR2008,0.0083173,3460000.0,3.597583
VNM,YR2012,0.0027122,2234000.0,2.75823
VUT,YR1992,,,
VUT,YR1996,,,
VUT,YR2000,,,
VUT,YR2004,,,
VUT,YR2008,,,
VUT,YR2012,,,
WLD,YR1992,,,
WLD,YR1996,,,
WLD,YR2000,,107071000.0,1.8556928287258
WLD,YR2004,,,
WLD,YR2008,,,
WLD,YR2012,,,
WSM,YR1992,,,
WSM,YR1996,,,
WSM,YR2000,,,
WSM,YR2004,,,
WSM,YR2008,,,
WSM,YR2012,,,
XKX,YR1992,,,
XKX,YR1996,,,
XKX,YR2000,,,
XKX,YR2004,,,
XKX,YR2008,,,
XKX,YR2012,,,
YEM,YR1992,,,
YEM,YR1996,,,
YEM,YR2000,,,
YEM,YR2004,,,
YEM,YR2008,,,
YEM,YR2012,,,
ZAF,YR1992,,,
ZAF,YR1996,,,
ZAF,YR2000,0.0025001,147000.0,0.3447536
ZAF,YR2004,,,
ZAF,YR2008,,,
ZAF,YR2012,,,
ZMB,YR1992,,,
ZMB,YR1996,,,
ZMB,YR2000,,,
ZMB,YR2004,0.0073976,58000.0,0.5349616
ZMB,YR2008,,,
ZMB,YR2012,,,
ZWE,YR1992,,,
ZWE,YR1996,,,
ZWE,YR2000,,,
ZWE,YR2004,,,
ZWE,YR2008,,,
ZWE,YR2012,,,
