year,city,iso,country,region,olympic_type,population,GDP_constant_2010_USD,land_area_km_sq,notes,population_%,GDP_%,land_area_%
1992,Barcelona,ECU,Ecuador,Americas,summer,10705667,40490851303,276840,,0.002025101674,0.001063408627,0.002502630524
1992,Barcelona,EGY,Egypt,Africa,summer,60035536,94546599459,995450,,0.01135642127,0.002483071269,0.008998856939
1992,Barcelona,SLV,El Salvador,Americas,summer,5400331,12619937301,20720,,0.001021535543,0.0003314366028,0.0001873085698
1992,Barcelona,GNQ,Equatorial Guinea,Africa,summer,455148,289132649.4,28050,,0.00008609654837,0.000007593472201,0.0002535716883
1992,Barcelona,EST,Estonia,Europe,summer,1533091,10894540082,42390,,0.0002900020289,0.0002861226065,0.000383205129
1992,Barcelona,ETH,Ethiopia,Africa,summer,51647768,8450777237,1101000,,0.009769777206,0.0002219422198,0.009953027766
1992,Barcelona,FJI,Fiji,Oceania,summer,744531,2201205464,18270,,0.0001408367152,0.00005781011772,0.000165160597
1992,Barcelona,FIN,Finland,Europe,summer,5041992,152008000000,304590,,0.0009537515448,0.003992176341,0.002753490215
1992,Barcelona,FRA,France,Europe,summer,58851216,1957930000000,547566,,0.01113239334,0.05142098984,0.004949990555
1992,Barcelona,GAB,Gabon,Africa,summer,1004676,10885761288,257670,,0.0001900461736,0.0002858920495,0.002329333937
1992,Barcelona,GMB,Gambia,Africa,summer,979718,503596359.3,10120,,0.0001853250771,0.00001322591884,0.00009148468755
1992,Barcelona,DEU,Germany,Europe,summer,80624598,2751790000000,349130,,0.01525108229,0.07227008403,0.00315613132
1992,Barcelona,GHA,Ghana,Africa,summer,15463854,13175959989,227540,,0.002925168196,0.0003460393909,0.002056959072
1992,Barcelona,GBR,UK,Europe,summer,57580402,1630740000000,241930,,0.01089200406,0.04282801988,0.002187044512
1992,Barcelona,GRC,Greece,Europe,summer,10399061,205208000000,128900,,0.001967103576,0.005389364524,0.001165254568
1992,Barcelona,GRD,Grenada,Americas,summer,97198,461841976.3,340,,0.00001838613442,0.00001212932616,0.000003073596222
1992,Barcelona,GUM,Guam,Oceania,summer,136692,4357462610,540,"2002 GDP, World Bank",0.00002585688477,0.0001144397607,0.000004881594
1992,Barcelona,GTM,Guatemala,Americas,summer,9708544,21610452588,107160,,0.001836484238,0.0005675539283,0.0009687252092
1992,Barcelona,GIN,Guinea,Africa,summer,6758838,3647194225,245720,,0.001278512973,0.00009578602768,0.00222130607
1992,Barcelona,GUY,Guyana,Americas,summer,748134,1257591674,196850,,0.0001415182646,0.00003302804936,0.001779521813
1992,Barcelona,HTI,Haiti,Americas,summer,7386975,6409064572,27560,,0.001397332407,0.0001683208512,0.0002491420938
