economy,time,CC.EST,GE.EST,PV.EST,RQ.EST,VA.EST
ABW,YR1996,,,,,
ABW,YR2000,,,,,
ABW,YR2004,1.16596531867981,1.28098452091217,0.993218183517456,0.762953817844391,0.737520694732666
ABW,YR2008,1.27677536010742,1.27042543888092,1.3163959980011,0.89470237493515,0.967198193073273
ABW,YR2012,1.09523594379425,1.24728560447693,1.26388156414032,1.40213143825531,1.2846497297287
ABW,YR2016,1.28040730953217,0.888866126537323,1.28419923782349,1.34424030780792,1.27936410903931
AFG,YR1996,-1.29170477390289,-2.17516660690308,-2.41730952262878,-2.09033036231995,-1.90854012966156
AFG,YR2000,-1.27172422409058,-2.17394614219666,-2.43896889686584,-2.0802526473999,-2.03141713142395
AFG,YR2004,-1.35064733028412,-0.909888744354248,-2.29568219184875,-1.51154899597168,-1.20303392410278
AFG,YR2008,-1.67209553718567,-1.53343546390533,-2.69136095046997,-1.60716688632965,-1.16890180110931
AFG,YR2012,-1.43037283420563,-1.37641882896423,-2.41856145858765,-1.19257974624634,-1.26743006706238
AFG,YR2016,-1.53404927253723,-1.25418150424957,-2.67105388641357,-1.33658170700073,-1.03778803348541
AGO,YR1996,-1.1677018404007,-0.859939992427826,-2.06191730499268,-1.41534507274628,-1.57816350460052
AGO,YR2000,-1.197514295578,-1.07503414154053,-2.03817391395569,-1.50704801082611,-1.45806467533112
AGO,YR2004,-1.37756884098053,-1.33465933799744,-1.0631206035614,-1.22671353816986,-1.28547978401184
AGO,YR2008,-1.30876457691193,-1.0645045042038,-0.361787378787994,-1.10149598121643,-1.11934685707092
AGO,YR2012,-1.30240142345428,-0.990929543972015,-0.389322549104691,-0.990437567234039,-1.07624673843384
AGO,YR2016,-1.46787941455841,-0.936142444610596,-0.315898835659027,-0.957892835140228,-1.14029264450073
AIA,YR1996,,,,,
AIA,YR2000,,,,,
AIA,YR2004,0.838260054588318,1.05862772464752,0.788184821605682,0.907688736915588,0.854418098926544
AIA,YR2008,1.27677536010742,1.52785265445709,1.11250960826874,1.39858841896057,0.967198193073273
AIA,YR2012,1.26053082942963,1.52303469181061,1.47692024707794,1.32121312618256,1.02567172050476
AIA,YR2016,1.22331142425537,1.32312893867493,1.31534373760223,0.867859840393066,
ALB,YR1996,-0.893903493881226,-0.68858790397644,-0.336625128984451,-0.474401652812958,-0.648297846317291
ALB,YR2000,-0.855563640594482,-0.917780160903931,-0.539989590644836,-0.415910124778748,-0.285138666629791
ALB,YR2004,-0.723731815814972,-0.409061759710312,-0.427259683609009,-0.187491565942764,0.00723749911412597
ALB,YR2008,-0.605212390422821,-0.370871335268021,-0.0305009130388498,0.137666508555412,0.174939081072807
ALB,YR2012,-0.778729438781738,-0.267875999212265,-0.143631592392921,0.240491986274719,0.0220640376210213
ALB,YR2016,-0.44898048043251,0.0597151108086109,0.344644665718079,0.196168705821037,0.170948684215546
AND,YR1996,1.31814324855804,1.41403770446777,1.16952216625214,1.26643979549408,1.56321668624878
AND,YR2000,1.31340384483337,1.38048672676086,1.16698145866394,1.22314357757568,1.53565549850464
AND,YR2004,1.11915028095245,1.50334131717682,1.40210604667664,1.41426146030426,1.56307661533356
AND,YR2008,1.27677536010742,1.52785265445709,1.33847212791443,1.39858841896057,1.32532179355621
AND,YR2012,1.26053082942963,1.52303469181061,1.29035115242004,1.56186008453369,1.43383765220642
AND,YR2016,1.22331142425537,1.85312378406525,1.41341936588287,0.867859840393066,1.17659735679626
ANT,YR1996,,,,,
ANT,YR2000,,,,,
ANT,YR2004,0.604184746742249,1.18215930461884,0.685668110847473,0.642341196537018,0.503726005554199
ANT,YR2008,1.27677536010742,0.755571186542511,1.11250960826874,0.89470237493515,0.525152504444122
ANT,YR2012,0.77997100353241,0.741472184658051,1.0782482624054,0.839919209480286,0.350018590688705
ANT,YR2016,,,,,
ARE,YR1996,-0.00557905901223421,0.776639640331268,0.964015007019043,0.694305300712585,-0.409403622150421
ARE,YR2000,0.103345222771168,0.747685492038727,0.975434422492981,0.689028561115265,-0.516841351985931
ARE,YR2004,1.03947734832764,0.679595291614532,0.768757998943329,0.792539000511169,-0.687912881374359
ARE,YR2008,1.07145047187805,0.868459820747375,0.696017920970917,0.567518591880798,-0.9123814702034
ARE,YR2012,1.15573620796204,1.14249610900879,0.863251447677612,0.670992136001587,-1.00081920623779
ARE,YR2016,1.16621565818787,1.40988969802856,0.56474894285202,0.969070076942444,-1.05032098293304
ARG,YR1996,-0.101317152380943,0.165690049529076,0.111376881599426,0.518067419528961,0.39190337061882
ARG,YR2000,-0.172407656908035,-0.0280386935919523,0.0958238765597343,0.182292386889458,0.418346971273422
ARG,YR2004,-0.414409548044205,0.0173355247825384,-0.610934913158417,-0.698035299777985,0.362040877342224
ARG,YR2008,-0.434875011444092,-0.124616414308548,-0.0877556875348091,-0.702629446983337,0.358895927667618
ARG,YR2012,-0.445909202098846,-0.206465601921082,0.103040546178818,-0.897686779499054,0.295209914445877
ARG,YR2016,-0.274941712617874,0.250169098377228,0.204625502228737,-0.337519019842148,0.493365466594696
ARM,YR1996,-0.473051309585571,-0.380564451217651,-0.364998608827591,-0.28276452422142,-0.56990909576416
ARM,YR2000,-0.84808623790741,-0.546417593955994,-0.68286794424057,-0.172101572155952,-0.374595284461975
ARM,YR2004,-0.703455328941345,-0.108692862093449,-0.116337485611439,0.109250001609325,-0.572165548801422
ARM,YR2008,-0.712412357330322,-0.17073829472065,-0.00685302773490548,0.300939857959747,-0.857629656791687
ARM,YR2012,-0.588001489639282,-0.0269024036824703,0.154794976115227,0.334273397922516,-0.570491433143616
ARM,YR2016,-0.637749075889587,-0.275093078613281,-0.662263810634613,0.21440464258194,-0.579242348670959
ASM,YR1996,,,,,
ASM,YR2000,,,,,
ASM,YR2004,0.791444957256317,-0.127275511622429,0.7369264960289,0.497606158256531,0.503726005554199
ASM,YR2008,0.317555278539658,0.498143970966339,0.984463036060333,0.390816241502762,0.967198193073273
ASM,YR2012,0.29941114783287,0.480951368808746,0.952990829944611,0.358625292778015,1.02567172050476
ASM,YR2016,1.22331142425537,0.528136432170868,1.19323575496674,0.132687509059906,
ATG,YR1996,0.869897186756134,0.644922494888306,0.717076897621155,0.7869011759758,0.333532422780991
ATG,YR2000,0.861537575721741,0.618822574615479,0.713235020637512,0.75122994184494,0.390961945056915
ATG,YR2004,0.839856028556824,0.53997790813446,1.08463561534882,0.582346558570862,0.573030769824982
ATG,YR2008,1.27677536010742,0.498143970966339,0.81389182806015,0.642759263515472,0.573908567428589
ATG,YR2012,1.26053082942963,0.480951368808746,0.975788056850433,0.59927225112915,0.640056967735291
ATG,YR2016,0.688038766384125,0.263139009475708,0.878607213497162,0.337577104568481,0.633674025535584
AUS,YR1996,1.8773558139801,1.8005645275116,1.39611268043518,1.3675971031189,1.44020295143127
AUS,YR2000,1.86208832263947,1.73217022418976,1.33396470546722,1.57561349868774,1.47130513191223
AUS,YR2004,2.00586891174316,1.98447918891907,0.935463547706604,1.71121954917908,1.50154197216034
AUS,YR2008,2.0273425579071,1.78415966033936,0.954700112342834,1.76601755619049,1.36807608604431
AUS,YR2012,1.97750723361969,1.61283433437347,0.997997224330902,1.77889716625214,1.49919033050537
AUS,YR2016,1.81091439723969,1.56198215484619,1.04795801639557,1.89396524429321,1.35369718074799
AUT,YR1996,1.73216354846954,1.73164963722229,1.41046285629272,1.65871214866638,1.44895005226135
