year,c1,c2,c3,c4,iso_country,c5,c6,c7,c8,c9,c10,c11
1992,Barcelona,Sailing,Outdoors Sports,AUS,AUS,Australia,Oceania,Men,Single,Board (Lechner),Bronze,summer
1992,Barcelona,Sailing,Outdoors Sports,NED,NLD,Netherlands,Europe,Women,Single,Board (Lechner),Bronze,summer
1992,Barcelona,Sailing,Outdoors Sports,GBR,GBR,UK,Europe,Men,Team,Fleet/Match Race Keelboat Open (Soling),Bronze,summer
1992,Barcelona,Sailing,Outdoors Sports,DEN,DNK,Denmark,Europe,Men,Double,Flying Dutchman,Bronze,summer
1992,Barcelona,Sailing,Outdoors Sports,USA,USA,USA,Americas,Women,Single,Europe - One Person Dinghy,Bronze,summer
1992,Barcelona,Sailing,Outdoors Sports,NZL,NZL,New Zealand,Oceania,Men,Single,Finn - One Person Dinghy,Bronze,summer
1992,Barcelona,Sailing,Outdoors Sports,AUS,AUS,Australia,Oceania,Men,Double,Tornado - Multihull,Bronze,summer
1992,Barcelona,Sailing,Outdoors Sports,CAN,CAN,Canada,Americas,Men,Double,Star - Keelboat,Bronze,summer
1992,Barcelona,Shooting,Shooting and Swords,BUL,BGR,Bulgaria,Europe,Women,Single,10M Air Pistol,Bronze,summer
1992,Barcelona,Shooting,Shooting and Swords,ROU,ROU,Romania,Europe,Men,Single,10M Air Pistol,Bronze,summer
