year,c1,c2,c3,c4,iso_country,c5,c6,c7,c8,c9,c10,c11
1992,Barcelona,Running,Track and Field,CAN,CAN,Canada,Americas,Women,Single,3000M,Bronze,summer
1992,Barcelona,Steeplechase,Track and Field,KEN,KEN,Kenya,Africa,Men,Single,3000M Steeplechase,Bronze,summer
1992,Barcelona,Running,Track and Field,KEN,KEN,Kenya,Africa,Men,Single,400M,Bronze,summer
1992,Barcelona,Running,Track and Field,COL,COL,Colombia,Americas,Women,Single,400M,Bronze,summer
1992,Barcelona,Hurdles,Track and Field,GBR,GBR,UK,Europe,Men,Single,400M Hurdles,Bronze,summer
1992,Barcelona,Hurdles,Track and Field,USA,USA,USA,Americas,Women,Single,400M Hurdles,Bronze,summer
1992,Barcelona,Relay,Track and Field,CUB,CUB,Cuba,Americas,Men,Team,4X100M Relay,Bronze,summer
1992,Barcelona,Relay,Track and Field,NGR,NGA,Nigeria,Africa,Women,Team,4X100M Relay,Bronze,summer
1992,Barcelona,Relay,Track and Field,GBR,GBR,UK,Europe,Men,Team,4X400M Relay,Bronze,summer
1992,Barcelona,Relay,Track and Field,GBR,GBR,UK,Europe,Women,Team,4X400M Relay,Bronze,summer
1992,Barcelona,Running,Track and Field,ETH,ETH,Ethiopia,Africa,Men,Single,5000M,Bronze,summer
1992,Barcelona,Walk Race,Track and Field,GER,DEU,Germany,Europe,Men,Single,50KM Race Walk,Bronze,summer
1992,Barcelona,Running,Track and Field,USA,USA,USA,Americas,Men,Single,800M,Bronze,summer
1992,Barcelona,Running,Track and Field,CUB,CUB,Cuba,Americas,Women,Single,800M,Bronze,summer
1992,Barcelona,Decathlon,Track and Field,USA,USA,USA,Americas,Men,Single,Decathlon,Bronze,summer
1992,Barcelona,Throwing,Track and Field,CUB,CUB,Cuba,Americas,Men,Single,Discus Throw,Bronze,summer
1992,Barcelona,Throwing,Track and Field,AUS,AUS,Australia,Oceania,Women,Single,Discus Throw,Bronze,summer
1992,Barcelona,Throwing,Track and Field,EUN,EUN,Unified Team,noregion,Men,Single,Hammer Throw,Bronze,summer
1992,Barcelona,Heptathlon,Track and Field,GER,DEU,Germany,Europe,Women,Single,Heptathlon,Bronze,summer
1992,Barcelona,Jumping,Track and Field,USA,USA,USA,Americas,Men,Single,High Jump,Bronze,summer
1992,Barcelona,Jumping,Track and Field,AUS,AUS,Australia,Oceania,Men,Single,High Jump,Bronze,summer
1992,Barcelona,Jumping,Track and Field,POL,POL,Poland,Europe,Men,Single,High Jump,Bronze,summer
1992,Barcelona,Jumping,Track and Field,CUB,CUB,Cuba,Americas,Women,Single,High Jump,Bronze,summer
1992,Barcelona,Throwing,Track and Field,GBR,GBR,UK,Europe,Men,Single,Javelin Throw,Bronze,summer
1992,Barcelona,Throwing,Track and Field,GER,DEU,Germany,Europe,Women,Single,Javelin Throw,Bronze,summer
1992,Barcelona,Jumping,Track and Field,USA,USA,USA,Americas,Men,Single,Long Jump,Bronze,summer
1992,Barcelona,Jumping,Track and Field,USA,USA,USA,Americas,Women,Single,Long Jump,Bronze,summer
1992,Barcelona,Running,Track and Field,GER,DEU,Germany,Europe,Men,Single,Marathon,Bronze,summer
1992,Barcelona,Running,Track and Field,NZL,NZL,New Zealand,Oceania,Women,Single,Marathon,Bronze,summer
1992,Barcelona,Jumping,Track and Field,ESP,ESP,Spain,Europe,Men,Single,Pole Vault,Bronze,summer
1992,Barcelona,Throwing,Track and Field,EUN,EUN,Unified Team,noregion,Men,Single,Shot Put,Bronze,summer
1992,Barcelona,Throwing,Track and Field,GER,DEU,Germany,Europe,Women,Single,Shot Put,Bronze,summer
1992,Barcelona,Jumping,Track and Field,BAH,BHS,Bahamas,Americas,Men,Single,Triple Jump,Bronze,summer
1992,Barcelona,Badminton,Individual Sports,CHN,CHN,China,Asia,Men,Double,Doubles,Bronze,summer
1992,Barcelona,Badminton,Individual Sports,MAS,MYS,Malaysia,Asia,Men,Double,Doubles,Bronze,summer
1992,Barcelona,Badminton,Individual Sports,KOR,KOR,South Korea,Asia,Women,Double,Doubles,Bronze,summer
1992,Barcelona,Badminton,Individual Sports,CHN,CHN,China,Asia,Women,Double,Doubles,Bronze,summer
1992,Barcelona,Badminton,Individual Sports,DEN,DNK,Denmark,Europe,Men,Single,Singles,Bronze,summer
1992,Barcelona,Badminton,Individual Sports,INA,IDN,Indonesia,Asia,Men,Single,Singles,Bronze,summer
1992,Barcelona,Badminton,Individual Sports,CHN,CHN,China,Asia,Women,Single,Singles,Bronze,summer
1992,Barcelona,Badminton,Individual Sports,CHN,CHN,China,Asia,Women,Single,Singles,Bronze,summer
1992,Barcelona,Baseball,Team Sports,JPN,JPN,Japan,Asia,Men,Team,Baseball,Bronze,summer
1992,Barcelona,Basketball,Team Sports,LTU,LTU,Lithuania,Europe,Men,Team,Basketball,Bronze,summer
1992,Barcelona,Basketball,Team Sports,USA,USA,USA,Americas,Women,Team,Basketball,Bronze,summer
1992,Barcelona,Boxing,Martial Arts,GER,DEU,Germany,Europe,Men,Single,48KG,Bronze,summer
1992,Barcelona,Boxing,Martial Arts,PHI,PHL,Philippines,Asia,Men,Single,48KG,Bronze,summer
1992,Barcelona,Boxing,Martial Arts,DEN,DNK,Denmark,Europe,Men,Single,91+ KG,Bronze,summer
1992,Barcelona,Boxing,Martial Arts,BUL,BGR,Bulgaria,Europe,Men,Single,91+ KG,Bronze,summer
1992,Barcelona,Boxing,Martial Arts,USA,USA,USA,Americas,Men,Single,51KG,Bronze,summer
1992,Barcelona,Boxing,Martial Arts,HUN,HUN,Hungary,Europe,Men,Single,51KG,Bronze,summer
1992,Barcelona,Boxing,Martial Arts,MAR,MAR,Morocco,Africa,Men,Single,54KG,Bronze,summer
1992,Barcelona,Boxing,Martial Arts,PRK,PRK,North Korea,Asia,Men,Single,54KG,Bronze,summer
1992,Barcelona,Boxing,Martial Arts,EUN,EUN,Unified Team,noregion,Men,Single,57KG,Bronze,summer
1992,Barcelona,Boxing,Martial Arts,ALG,DZA,Algeria,Africa,Men,Single,57KG,Bronze,summer
1992,Barcelona,Boxing,Martial Arts,MGL,MNG,Mongolia,Asia,Men,Single,60KG,Bronze,summer
1992,Barcelona,Boxing,Martial Arts,KOR,KOR,South Korea,Asia,Men,Single,60KG,Bronze,summer
1992,Barcelona,Boxing,Martial Arts,ROU,ROU,Romania,Europe,Men,Single,63.5KG,Bronze,summer
1992,Barcelona,Boxing,Martial Arts,FIN,FIN,Finland,Europe,Men,Single,63.5KG,Bronze,summer
1992,Barcelona,Boxing,Martial Arts,PUR,PRI,Puerto Rico,Americas,Men,Single,67KG,Bronze,summer
1992,Barcelona,Boxing,Martial Arts,THA,THA,Thailand,Asia,Men,Single,67KG,Bronze,summer
1992,Barcelona,Boxing,Martial Arts,HUN,HUN,Hungary,Europe,Men,Single,71KG,Bronze,summer
1992,Barcelona,Boxing,Martial Arts,GBR,GBR,UK,Europe,Men,Single,71KG,Bronze,summer
1992,Barcelona,Boxing,Martial Arts,CAN,CAN,Canada,Americas,Men,Single,75KG,Bronze,summer
1992,Barcelona,Boxing,Martial Arts,KOR,KOR,South Korea,Asia,Men,Single,75KG,Bronze,summer
1992,Barcelona,Boxing,Martial Arts,POL,POL,Poland,Europe,Men,Single,81KG,Bronze,summer
1992,Barcelona,Boxing,Martial Arts,HUN,HUN,Hungary,Europe,Men,Single,81KG,Bronze,summer
1992,Barcelona,Boxing,Martial Arts,NZL,NZL,New Zealand,Oceania,Men,Single,91KG,Bronze,summer
1992,Barcelona,Boxing,Martial Arts,NED,NLD,Netherlands,Europe,Men,Single,91KG,Bronze,summer
1992,Barcelona,Canoe Sprint,Outdoors Sports,HUN,HUN,Hungary,Europe,Men,Single,C-1 1000M (Canoe Single),Bronze,summer
1992,Barcelona,Canoe Sprint,Outdoors Sports,GER,DEU,Germany,Europe,Men,Single,C-1 500M (Canoe Single),Bronze,summer
1992,Barcelona,Canoe Sprint,Outdoors Sports,FRA,FRA,France,Europe,Men,Double,C-2 1000M (Canoe Double),Bronze,summer
1992,Barcelona,Canoe Sprint,Outdoors Sports,BUL,BGR,Bulgaria,Europe,Men,Double,C-2 500M (Canoe Double),Bronze,summer
1992,Barcelona,Canoe Sprint,Outdoors Sports,USA,USA,USA,Americas,Men,Single,K-1 1000M (Kayak Single),Bronze,summer
1992,Barcelona,Canoe Sprint,Outdoors Sports,NOR,NOR,Norway,Europe,Men,Single,K-1 500M (Kayak Single),Bronze,summer
1992,Barcelona,Canoe Sprint,Outdoors Sports,POL,POL,Poland,Europe,Women,Single,K-1 500M (Kayak Single),Bronze,summer
