economy,time,1.1_ACCESS.ELECTRICITY.TOT,1.2_ACCESS.ELECTRICITY.RURAL
BHS,YR2016,100.0,100.0
BIH,YR1992,97.3383102416992,96.7565792629424
BIH,YR1996,98.1699523925781,97.8473909129268
BIH,YR2000,98.7678527832031,98.6023239419104
BIH,YR2004,99.1321105957031,99.0112140819016
BIH,YR2008,99.5800399780273,99.5009252538641
BIH,YR2012,99.9866180419922,99.9823461463361
BIH,YR2016,100.0,100.0
BLR,YR1992,100.0,100.0
BLR,YR1996,100.0,100.0
BLR,YR2000,100.0,100.0
BLR,YR2004,100.0,100.0
BLR,YR2008,100.0,100.0
BLR,YR2012,100.0,100.0
BLR,YR2016,100.0,100.0
BLZ,YR1992,88.4140396118164,79.6688360595644
BLZ,YR1996,89.2504577636719,81.3664539009173
BLZ,YR2000,89.8436584472656,82.6983848925493
BLZ,YR2004,90.1833572387695,83.9299526449321
BLZ,YR2008,90.6150207519531,85.1897794999605
BLZ,YR2012,91.3423233032227,86.7662835786619
BLZ,YR2016,92.2143173217773,88.4200865737024
BMU,YR1992,100.0,
BMU,YR1996,100.0,
BMU,YR2000,100.0,
BMU,YR2004,100.0,
BMU,YR2008,100.0,
BMU,YR2012,100.0,
BMU,YR2016,100.0,
BOL,YR1992,59.324348449707,11.5438719620092
BOL,YR1996,71.0,34.7
BOL,YR2000,69.963045,24.932479
BOL,YR2004,76.0509185791016,40.6190173558239
BOL,YR2008,84.674991,56.135089
BOL,YR2012,90.387375,72.458314
BOL,YR2016,93.0391311645508,79.145023819414
BRA,YR1992,88.803833,54.332727
BRA,YR1996,92.867095,66.942201
BRA,YR2000,94.4665679931641,74.9041610654805
BRA,YR2004,96.765107,81.507163
BRA,YR2008,98.526625,91.398435
BRA,YR2012,99.519494,97.022847
BRA,YR2016,100.0,100.0
BRB,YR1992,,
BRB,YR1996,,
BRB,YR2000,100.0,100.0
BRB,YR2004,100.0,100.0
BRB,YR2008,100.0,100.0
BRB,YR2012,100.0,100.0
BRB,YR2016,100.0,100.0
BRN,YR1992,100.0,100.0
BRN,YR1996,100.0,100.0
BRN,YR2000,100.0,100.0
BRN,YR2004,100.0,100.0
BRN,YR2008,100.0,100.0
BRN,YR2012,100.0,100.0
BRN,YR2016,100.0,100.0
BTN,YR1992,1.83413994312286,
BTN,YR1996,17.1647396087647,
BTN,YR2000,34.9193420410156,14.0123839678922
BTN,YR2004,52.4204368591308,33.3262095049106
BTN,YR2008,70.0135040283203,55.8383683500876
BTN,YR2012,91.5,87.3
BTN,YR2016,100.0,100.0
BWA,YR1992,10.3697214126587,2.90602170483706
BWA,YR1996,18.9592018127441,9.22926022034858
BWA,YR2000,27.3054733276367,14.6243061548164
BWA,YR2004,35.3982353210449,19.99743063555
BWA,YR2008,43.1,42.9
BWA,YR2012,52.0633392333984,31.5890553491059
BWA,YR2016,60.6883964538574,37.4945434437789
CAF,YR1992,1.08137118816376,
CAF,YR1996,3.43502855300903,
CAF,YR2000,6.0,0.7
CAF,YR2004,7.40241956710815,0.283550454371844
CAF,YR2008,9.35132789611816,0.242466063820815
CAF,YR2012,11.5958757400513,0.356717797116942
CAF,YR2016,13.9851121902466,0.363603775194712
CAN,YR1992,100.0,100.0
CAN,YR1996,100.0,100.0
CAN,YR2000,100.0,100.0
CAN,YR2004,100.0,100.0
CAN,YR2008,100.0,100.0
CAN,YR2012,100.0,100.0
CAN,YR2016,100.0,100.0
CCA,YR1992,,
CCA,YR1996,,
CCA,YR2000,,
CCA,YR2004,,
CCA,YR2008,,
CCA,YR2012,,
CCA,YR2016,,
CHE,YR1992,100.0,100.0
CHE,YR1996,100.0,100.0
CHE,YR2000,100.0,100.0
CHE,YR2004,100.0,100.0
CHE,YR2008,100.0,100.0
CHE,YR2012,100.0,100.0
CHE,YR2016,100.0,100.0
CHI,YR1992,100.0,100.0
CHI,YR1996,100.0,100.0
CHI,YR2000,100.0,100.0
CHI,YR2004,100.0,100.0
CHI,YR2008,100.0,100.0
CHI,YR2012,100.0,100.0
CHI,YR2016,100.0,100.0
CHL,YR1992,94.560057,70.328551
CHL,YR1996,95.617315,74.767206
CHL,YR2000,97.938687,86.572004
CHL,YR2004,97.870491027832,86.5137693262235
CHL,YR2008,98.8176727294922,92.5115904201348
CHL,YR2012,99.8582229614258,99.2704182836274
CHL,YR2016,100.0,100.0
CHN,YR1992,93.0951156616211,90.6250232069605
CHN,YR1996,94.7911224365235,92.5315610086531
CHN,YR2000,96.2439270019531,94.142393525458
CHN,YR2004,97.4432144165039,95.7631228956269
CHN,YR2008,98.7499160766602,97.6808575144427
CHN,YR2012,99.9163818359375,99.8261974099054
CHN,YR2016,100.0,100.0
CIV,YR1992,39.9045600891113,16.2239815937407
CIV,YR1996,44.3240585327148,20.0893655288843
CIV,YR2000,48.5003471374512,23.1661687254709
CIV,YR2004,52.4231300354004,25.1042571550602
CIV,YR2008,56.4378814697266,26.766988271278
CIV,YR2012,55.8,29.0
CIV,YR2016,64.3,38.1
CMR,YR1992,32.5555992126465,7.0752687610139
CMR,YR1996,37.3451614379883,10.0932960148248
CMR,YR2000,41.0,21.0
CMR,YR2004,47.1,15.5
CMR,YR2008,50.5691757202148,16.5623622710969
CMR,YR2012,55.249626159668,18.8284315667303
CMR,YR2016,60.0747680664063,21.2703972709478
COD,YR1992,1.18300318717957,
COD,YR1996,4.04676628112793,
COD,YR2000,6.7,1.0
COD,YR2004,9.03436851501465,
COD,YR2008,11.4933834075928,
COD,YR2012,15.4,1.0
COD,YR2016,17.1473789215088,
COG,YR1992,1.62760376930237,
COG,YR1996,10.9870653152466,
COG,YR2000,20.1033191680908,
COG,YR2004,28.966064453125,2.65304469960317
COG,YR2008,37.9207763671875,9.09146752093699
COG,YR2012,41.6,11.7
COG,YR2016,56.5661697387695,22.6253579795672
COK,YR1992,95.8395004272461,94.7569733640309
COK,YR1996,96.8380966186523,96.2026588402026
COK,YR2000,97.5934906005859,97.3007135676061
COK,YR2004,98.0997543334961,97.9931727473444
COK,YR2008,98.7046661376953,98.8486865436285
COK,YR2012,99.5715942382812,100.0
COK,YR2016,100.0,100.0
COL,YR1992,91.1531982421875,74.3456365251517
COL,YR1996,92.6647720336914,77.5918402867061
COL,YR2000,95.2,83.8
COL,YR2004,94.9480056762695,83.2681699414901
COL,YR2008,96.806763,87.470664
COL,YR2012,97.032176,87.858058
COL,YR2016,99.0044555664063,95.7258094425259
COM,YR1992,20.2330932617188,8.17660504668852
COM,YR1996,28.9,19.6
COM,YR2000,39.5996589660645,29.9484292721018
COM,YR2004,48.9078330993652,40.3269275358368
COM,YR2008,58.3079681396484,50.7290412234953
COM,YR2012,69.3,61.4
COM,YR2016,77.8442153930664,72.1928710702143
CPV,YR1992,37.3000144958496,4.57006693873915
CPV,YR1996,46.7216453552246,15.1862376748945
CPV,YR2000,55.9000663757324,26.6157542723412
CPV,YR2004,64.8249816894531,39.386054064519
CPV,YR2008,73.8418579101563,54.0251331005145
CPV,YR2012,83.1543807983398,71.4132067855962
CPV,YR2016,92.6115875244141,91.8302923938069
CRI,YR1992,97.7932281494141,95.4188155350414
CRI,YR1996,98.356689453125,96.3101274441196
CRI,YR2000,98.686408996582,96.8445300423016
CRI,YR2004,98.954779,97.58591
CRI,YR2008,99.263937,98.282766
CRI,YR2012,99.503298,98.690151
CRI,YR2016,100.0,100.0
CUB,YR1992,93.4771728515625,78.3899655733555
CUB,YR1996,95.3254547119141,83.4873369905727
CUB,YR2000,97.0,87.9
CUB,YR2004,98.286491394043,92.8485736833711
CUB,YR2008,99.6403656005859,98.4752857263255
CUB,YR2012,100.0,100.0
CUB,YR2016,100.0,100.0
CUW,YR1992,100.0,100.0
CUW,YR1996,100.0,100.0
CUW,YR2000,100.0,100.0
CUW,YR2004,100.0,100.0
CUW,YR2008,100.0,100.0
CUW,YR2012,100.0,100.0
CUW,YR2016,100.0,100.0
CYM,YR1992,100.0,
CYM,YR1996,100.0,
CYM,YR2000,100.0,
CYM,YR2004,100.0,
CYM,YR2008,100.0,
CYM,YR2012,100.0,
CYM,YR2016,100.0,
CYP,YR1992,100.0,100.0
CYP,YR1996,100.0,100.0
CYP,YR2000,100.0,100.0
CYP,YR2004,100.0,100.0
CYP,YR2008,100.0,100.0
CYP,YR2012,100.0,100.0
CYP,YR2016,100.0,100.0
CZE,YR1992,100.0,100.0
CZE,YR1996,100.0,100.0
CZE,YR2000,100.0,100.0
CZE,YR2004,100.0,100.0
CZE,YR2008,100.0,100.0
CZE,YR2012,100.0,100.0
CZE,YR2016,100.0,100.0
DEU,YR1992,100.0,100.0
DEU,YR1996,100.0,100.0
DEU,YR2000,100.0,100.0
DEU,YR2004,100.0,100.0
DEU,YR2008,100.0,100.0
DEU,YR2012,100.0,100.0
DEU,YR2016,100.0,100.0
DJI,YR1992,59.1294631958008,81.9655041708463
DJI,YR1996,62.0,11.1
DJI,YR2000,56.8433990478515,56.2755806573281
DJI,YR2004,55.3252563476563,41.817379991492
DJI,YR2008,53.8990783691406,27.1818283685608
DJI,YR2012,54.6,4.372199059
DJI,YR2016,51.7826919555664,
DMA,YR1992,69.0630264282227,69.0630264282227
DMA,YR1996,75.0660018920898,75.0660018920899
DMA,YR2000,80.8257675170898,80.8257675170898
DMA,YR2004,86.33203125,86.33203125
DMA,YR2008,90.9,90.9000000000001
DMA,YR2012,97.8241195678711,97.8241195678711
DMA,YR2016,100.0,100.0
DNK,YR1992,100.0,100.0
DNK,YR1996,100.0,100.0
DNK,YR2000,100.0,100.0
DNK,YR2004,100.0,100.0
DNK,YR2008,100.0,100.0
DNK,YR2012,100.0,100.0
DNK,YR2016,100.0,100.0
DOM,YR1992,81.4284744262695,64.0858315708272
DOM,YR1996,85.0258407592773,69.5673182794531
DOM,YR2000,88.764932,73.788668
DOM,YR2004,90.316567,80.451235
DOM,YR2008,97.576197,93.312888
DOM,YR2012,97.86705,94.211009
DOM,YR2016,100.0,100.0
DZA,YR1992,98.4836578369141,96.728001617667
DZA,YR1996,98.8460083007812,97.3311713444172
DZA,YR2000,98.9651565551758,97.5702469125122
DZA,YR2004,98.8307876586914,97.4150873109544
DZA,YR2008,99.3,97.9106348685192
DZA,YR2012,98.7646604654583,97.8587842072279
DZA,YR2016,99.439567565918,98.9553723612358
ECU,YR1992,89.9099426269531,78.6343665074868
ECU,YR1996,91.7841186523438,81.7961881041011
ECU,YR2000,93.4150924682617,84.7767455508172
ECU,YR2004,94.7925567626953,87.7333763992815
